TRADEDATE,level_id,level_price,direction,outcome,regime_day,ATR14,approach_state
2022-06-17,0,57573.454545454544,up,break_confirmed,R4,2667.0714285714284,retest
2022-07-01,0,57573.454545454544,up,break_confirmed,R4,2663.5,rejection
2022-07-21,0,57573.454545454544,up,break_confirmed,R3,2862.0,retest
2022-09-30,0,57573.454545454544,up,break_confirmed,R4,2161.5,retest
2022-05-25,1,60834.25454545455,up,break_confirmed,R2,2997.6428571428573,rejection
2022-06-08,1,60834.25454545455,down,break_confirmed,R4,3088.1428571428573,retest
2022-06-17,1,60834.25454545455,up,break_confirmed,R4,2667.0714285714284,rejection
2022-06-21,1,60834.25454545455,down,break_confirmed,R4,2173.3571428571427,retest
2022-07-11,1,60834.25454545455,down,break_confirmed,R2,3309.785714285714,rejection
2022-08-18,1,60834.25454545455,down,break_confirmed,R4,1685.357142857143,rejection
2022-08-25,1,60834.25454545455,up,break_confirmed,R4,1370.142857142857,rejection
2022-08-29,1,60834.25454545455,down,break_confirmed,R4,1252.857142857143,retest
2022-09-02,1,60834.25454545455,up,break_confirmed,R4,1192.142857142857,retest
2022-09-08,1,60834.25454545455,down,break_confirmed,R4,977.8571428571428,retest
2022-09-22,1,60834.25454545455,down,break_confirmed,R2,1261.5,rejection
2022-10-13,1,60834.25454545455,up,false_break,R4,2428.5,rejection
2022-10-14,1,60834.25454545455,down,break_confirmed,R4,2434.285714285714,retest
2022-10-25,1,60834.25454545455,up,break_confirmed,R4,1556.142857142857,retest
2022-11-10,1,60834.25454545455,down,break_confirmed,R2,952.8571428571428,rejection
2022-11-14,1,60834.25454545455,up,false_break,R4,927.6428571428572,retest
2022-11-15,1,60834.25454545455,down,break_confirmed,R1,891.4285714285714,rejection
2022-11-17,1,60834.25454545455,up,break_confirmed,R4,794.5714285714286,retest
2022-11-22,1,60834.25454545455,down,false_break,R4,727.8571428571429,retest
2022-11-23,1,60834.25454545455,up,break_confirmed,R4,717.6428571428571,retest
2022-11-25,1,60834.25454545455,down,false_break,R1,663.9285714285714,retest
2022-11-28,1,60834.25454545455,up,break_confirmed,R4,662.4285714285714,retest
2022-05-26,2,61427.12727272727,up,break_confirmed,R2,3088.5714285714284,rejection
2022-06-07,2,61427.12727272727,up,false_break,R4,3086.5714285714284,retest
2022-06-08,2,61427.12727272727,down,break_confirmed,R4,3088.1428571428573,retest
2022-06-20,2,61427.12727272727,down,break_confirmed,R4,2338.0,retest
