nohup: ignoring input
TOP 20 by TRAIN net_pnl (with TEST shown):
 stop_k  tp_k  train_trades  train_net_pnl  train_win_rate  train_avg_pnl  train_max_dd  train_pf  test_trades  test_net_pnl  test_win_rate  test_avg_pnl  test_max_dd  test_pf
    0.8   2.5            14   20138.585714        0.357143    1438.470408  -3643.657143  2.865118           18   7626.821429       0.333333    423.712302 -4361.885714 1.602829
    1.2   2.5            12   17595.642857        0.416667    1466.303571  -5662.207143  2.318971           14  13539.285714       0.500000    967.091837 -2416.828571 2.268962
    0.6   2.5            21   17571.214286        0.238095     836.724490  -5150.514286  2.314733           21   8514.035714       0.285714    405.430272 -3865.557143 1.727615
    1.0   2.5            14   17443.714286        0.357143    1245.979592  -4553.571429  2.292859           16   6594.107143       0.375000    412.131696 -4313.500000 1.481869
    0.8   2.0            15   15474.371429        0.400000    1031.624762  -3643.657143  2.416059           18   6033.914286       0.388889    335.217460 -4361.885714 1.505126
    1.5   2.5            12   14264.035714        0.416667    1188.669643  -7942.035714  1.855567           14  10875.392857       0.500000    776.813776 -3020.535714 1.815646
    1.2   2.0            13   12866.285714        0.461538     989.714286  -5463.485714  1.950534           14  11512.085714       0.571429    822.291837 -2416.828571 2.197796
    1.0   2.0            15   12746.928571        0.400000     849.795238  -4553.571429  1.933484           16   5177.285714       0.437500    323.580357 -4718.571429 1.404412
    0.6   2.0            21   11382.000000        0.238095     542.000000  -5150.514286  1.851636           21   6757.685714       0.333333    321.794558 -3865.557143 1.604930
    0.4   2.5            35   10463.542857        0.142857     298.958367 -10322.114286  1.523476           30   7347.457143       0.200000    244.915238 -3500.514286 1.595564
    1.5   2.0            13    9485.821429        0.461538     729.678571  -7472.107143  1.560750           14   9112.321429       0.571429    650.880102 -3020.535714 1.758676
    0.8   0.8            25    7261.028571        0.600000     290.441143  -3139.428571  1.481202           23   3893.142857       0.565217    169.267081 -5029.600000 1.371430
    0.8   1.0            24    7179.928571        0.541667     299.163690  -3643.657143  1.422391           22   3403.057143       0.500000    154.684416 -4478.885714 1.292296
    0.8   1.5            17    7147.400000        0.411765     420.435294  -3643.657143  1.501979           19   4633.957143       0.421053    243.892481 -4767.185714 1.390605
    0.8   1.2            19    6120.714286        0.473684     322.142857  -3643.657143  1.427793           21   5091.942857       0.476190    242.473469 -5252.800000 1.438684
    0.6   0.8            32    6007.885714        0.468750     187.746429  -5365.628571  1.366252           27   3389.942857       0.481481    125.553439 -3817.628571 1.309384
    0.6   1.5            24    5791.971429        0.291667     241.332143  -4559.242857  1.365529           22   5349.914286       0.363636    243.177922 -3865.557143 1.481555
    0.8   0.6            28    4936.885714        0.642857     176.317347  -3139.428571  1.329849           25   1900.371429       0.600000     76.014857 -3995.700000 1.181307
    1.0   1.5            16    4904.285714        0.437500     306.517857  -4753.464286  1.297562           17   3797.785714       0.470588    223.399160 -5425.642857 1.299045
    1.0   0.8            24    4805.185714        0.625000     200.216071  -3923.785714  1.273874           21   3423.585714       0.619048    163.027891 -5675.257143 1.312353

Saved: research/opt_tp_sl_results.csv
Saved: research/opt_tp_sl_top20.csv
